"sde_weight","sdl_weight","awy_weight","cost_weight","sde_score","sdl_score","awy_score","cost_score","esm_case","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","index"
0.5,0.5,0,0,1025363.53934394,6403947.91093446,-6192081.11641219,1249907200,5,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,72
0,0.75,0.25,0,968393.356994413,5927185.80039637,-2758574.84030151,1249837808,5,0,6433,0,0,5,1,0,0.999068178288554,0,0,0.000776518092871564,0.000155303618574313,0,0.988237027311947,0,0,0.00632402056443471,0.00543895212361827,0,1235136000,0,0,7904000,6797808,73
0.25,0.75,0,0,1021102.68782889,6406663.07256185,-6251860.04303581,1249907200,5,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,74
0,1,0,0,1018326.72922606,6407083.00401355,-6281254.31333409,1249907200,5,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,75
0,0,1,0,227.090861076194,591.121696729481,3365633.5625217,1248832000,6,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,76
0.25,0,0.75,0,227.090861076194,591.121696729481,3365633.5625217,1248832000,6,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,77
0.5,0,0.5,0,93552.9061575942,309928.689013281,3295779.13541369,1249312000,6,0,126,775,0,0,0,0,0.13984461709212,0.86015538290788,0,0,0,0,0.0193642580876514,0.980635741912349,0,0,0,0,24192000,1225120000,0,0,0,78
0.75,0,0.25,0,697315.942997777,2459957.33683016,2076577.28189449,1249478400,6,0,2037,542,0,1,0,0,0.78953488372093,0.210077519379845,0,0.000387596899224806,0,0,0.313013814404475,0.685721017666252,0,0.00126516792927353,0,0,391104000,856793600,0,1580800,0,79
1,0,0,0,1711288.13266197,6368782.01211816,-5918114.7164813,1249952000,6,0,6469,0,0,5,0,0,0.999227679950571,0,0,0.000772320049428483,0,0,0.993676557179796,0,0,0.0063234428202043,0,0,1242048000,0,0,7904000,0,80
0,0.25,0.75,0,129106.141358039,439017.825845752,3253916.73832571,1248761600,6,0,189,767,0,0,0,0,0.197698744769874,0.802301255230126,0,0,0,0,0.0290591895202415,0.970940810479759,0,0,0,0,36288000,1212473600,0,0,0,81
0.25,0.25,0.5,0,485383.001601289,1713600.94549749,2633810.72518779,1248524800,6,0,1184,646,0,0,0,0,0.646994535519126,0.353005464480874,0,0,0,0,0.182077280323146,0.817922719676854,0,0,0,0,227328000,1021196800,0,0,0,82
0.5,0.25,0.25,0,1294490.95531197,4734563.77358739,-451538.216638145,1249959408,6,0,5141,158,0,4,1,0,0.969268476621418,0.029788838612368,0,0.000754147812971342,0.000188536953242836,0,0.789683243857788,0.19981960886205,0,0.00505872427498862,0.0054384230051733,0,987072000,249766400,0,6323200,6797808,83
0.75,0.25,0,0,1707871.84212123,6400125.41887972,-6142052.48223543,1249907200,6,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,84
0,0.5,0.5,0,901375.319413799,3268298.70041232,1367121.18515892,1249568000,6,0,3009,425,0,0,0,0,0.876237623762376,0.123762376237624,0,0,0,0,0.462342185459295,0.537657814540705,0,0,0,0,577728000,671840000,0,0,0,85
0.25,0.5,0.25,0,1537945.1406182,5687717.8498211,-2144409.05229067,1249914608,6,0,6384,3,0,8,1,0,0.99812382739212,0.000469043151969981,0,0.00125078173858662,0.000156347717323327,0,0.980649391690284,0.00379417919403979,0,0.0101178111841061,0.00543861793156993,0,1225728000,4742400,0,12646400,6797808,86
0.5,0.5,0,0,1704948.55488931,6405443.16015254,-6212547.98664315,1249907200,6,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,87
0,0.75,0.25,0,1595095.18618937,5927185.80039637,-2758574.84030151,1249837808,6,0,6433,0,0,5,1,0,0.999068178288554,0,0,0.000776518092871564,0.000155303618574313,0,0.988237027311947,0,0,0.00632402056443471,0.00543895212361827,0,1235136000,0,0,7904000,6797808,88
0.25,0.75,0,0,1702827.62972491,6406838.46316918,-6262233.88678221,1249907200,6,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,89
0,1,0,0,1701285.91957491,6407083.00401355,-6281254.31333409,1249907200,6,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,90
0,0,1,0,149.49808820201,19281.5589435261,2034761.03109508,1248832000,7,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,91
0.25,0,0.75,0,3306.49569690206,39433.3467524427,2033886.06279562,1248832000,7,0,0,790,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1248832000,0,0,0,92
0.5,0,0.5,0,16781.3724950746,160989.368475616,2023820.17846249,1249747200,7,0,13,789,0,0,0,0,0.0162094763092269,0.983790523690773,0,0,0,0,0.00199720391451967,0.99800279608548,0,0,0,0,2496000,1247251200,0,0,0,93
0.75,0,0.25,0,79023.6808694523,855344.567534438,1883552.82102714,1248627200,7,0,213,751,0,13,0,0,0.218014329580348,0.768679631525077,0,0.0133060388945752,0,0,0.0327527704025669,0.950788834329414,0,0.0164583952680191,0,0,40896000,1187180800,0,20550400,0,94
1,0,0,0,343057.622821482,5788621.6556215,-6226383.21650824,1249849600,7,0,6452,0,0,7,0,0,0.998916240904165,0,0,0.00108375909583527,0,0,0.991146454741434,0,0,0.00885354525856551,0,0,1238784000,0,0,11065600,0,95
0,0.25,0.75,0,101044.945632636,1834524.21255063,1668229.11469071,1248492800,7,0,484,729,0,2,0,0,0.398353909465021,0.6,0,0.00164609053497942,0,0,0.0744321473059356,0.923035519307761,0,0.00253233338630387,0,0,92928000,1152403200,0,3161600,0,96
0.25,0.25,0.5,0,138147.839467342,2459791.5984009,1310280.50107949,1249196800,7,0,1311,628,0,3,0,0,0.675077239958805,0.323377960865088,0,0.00154479917610711,0,0,0.20149907524579,0.794704565365521,0,0.0037963593886888,0,0,251712000,992742400,0,4742400,0,97
0.5,0.25,0.25,0,235301.261977551,4241010.36850156,-327660.096553232,1248653808,7,0,4492,238,0,2,1,0,0.949080921191633,0.0502852313543207,0,0.00042256496936404,0.00021128248468202,0,0.690715068079142,0.301308815613687,0,0.00253200685389653,0.0054441094532745,0,862464000,376230400,0,3161600,6797808,98
0.75,0.25,0,0,318937.808165381,6395739.33255668,-8137909.72754773,1249907200,7,0,6477,0,0,4,0,0,0.999382811294553,0,0,0.00061718870544669,0,0,0.994941064424623,0,0,0.00505893557537712,0,0,1243584000,0,0,6323200,0,99
